,,,,,,
,,,,,,
,,,,,,
"Source: USCIS, data as of October 25, 2017. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary is based on data reported by the petitioner in the petition and may include part-time employment. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. The letter H replaces the value in the total column where one could deduce the value of D. Employers without tax identification numbers in our system were excluded. ",,,,,,
Employer Tax Number (last 4 digits), Employer Name ,Total Number of Approved Petitions, Average Salary ($) ,Beneficiaries' Degree/Diploma,,
6424,TRUSHIELD SECURITY SOLUTIONS I, D ," 85,000 ",Master's, D ,
4368,OUR FILM FESTIVAL INC DBA FAND, D ," 100,000 ",Professional Degree, D ,
1929,ANM PHARMACY INC DBA FLORIDA P, D ," 58,162 ",Master's, D ,
0222,CREDITCARD DATA SERVICES INC, D ," 49,516 ",Master's, D ,
9661,C2WIRELESS AND ASSOCIATES LLC, D ," 42,600 ",Master's, D ,
4476,AD.COM INTERACTIVE MEDIA INC, D ," 110,769 ",Master's, D ,
0072,DAS VENTURES LLC DBA THATCHER, D ," 75,000 ",Master's, D ,
9391,GENIUS SIS INC, D ," 73,341 ",Bachelor's, D ,
8673,U S JAPAN RESEARCH INST, D ," 100,000 ",Master's, D ,
8629,SAPA EXTRUDER INC, D ," 70,000 ",Bachelor's, D ,
7999,FERNANDES MARITIME CONSULTANTS, D ," 98,500 ",Associate Degree, D ,
5537,HEIDI PHAM MURPHY OD INC, D ," 32,386 ",Master's, D ,
0297,IR REHAB PC DBA INTEGRITY REHA, D ," 108,160 ",Doctorate, D ,
9132,C SQUARE INTERNATIONAL TRADING, D ," 38,451 ",Master's, D ,
5865,SIGMUND PRETZEL SHOP INC, D ," 65,000 ",Bachelor's, D ,
4811,NTFB COMBUSTION EQUIPMENT USA, D ," 54,990 ",Bachelor's, D ,
3042,BE FLUENT NYC INC, D ," 39,000 ",Bachelor's, D ,
0777,PRIVCO MEDIA LLC, D ," 55,000 ",Master's, D ,
7503,UNIPOWER LLC, D ," 89,000 ",Bachelor's, D ,
4709,SEAWARD DEVELOPMENT LLC, D ," 27,497 ",Bachelor's, D ,
3711,COWEN INC, D ," 110,000 ",Master's, D ,
3427,FASUR TECHNOLOGIES LLC, D ," 84,000 ",Master's, D ,
1690,THE NUMBER ONE, D ," 66,248 ",Bachelor's, D ,
6642,FIRSTHAND CAPITAL MANAGEMENT I, D ," 125,000 ",Master's, D ,
5475,TRIGENT SOLUTIONS INC, D ," 60,000 ",Bachelor's, D ,
0586,SERENITY THERAPY SERVICES LLC, D ," 50,000 ",Master's, D ,
7427,SOUTHERN ILLINOIS HEART AND VA, D ," 400,000 ",Professional Degree, D ,
4329,SYNERGY ANESTHESIA LLC, D ," 285,000 ",Professional Degree, D ,
1919,PU-FOLKES LAW FIRM PLLC, D ," 41,600 ",Professional Degree, D ,
1907,COSA VFX INC, D ," 52,000 ",Master's, D ,
2895,EDISON SPA & FITNESS INC, D ," 35,116 ",Master's, D ,
6337,WZ INTERNATIONAL CORP, D ," 60,000 ",High School, D ,
5416,NANOMECHANICS INC, D ," 71,280 ",Doctorate, D ,
1206,GRANULAR INC, D ," 179,750 ",Master's, D ,
7914,ENVIRONETIX TECHNOLOGIES CORP, D ," 65,000 ",Master's, D ,
6458,UNIVERSALMCCANN WORLDWIDE INC, D ," 65,000 ",Master's, D ,
1217,AH CAPITAL MGMT LLC DBA A16Z A, D ," 275,000 ",Master's, D ,
5611,SIYARAM INC DBA SPARTAN STONES, D ," 80,891 ",Master's, D ,
6961,GORHAM CONTRACTING INC, D ," 75,000 ",Bachelor's, D ,
5567,CANT LIVE WITHOUT IT INC, D ," 120,000 ",Bachelor's, D ,
2726,BSW DT INC, D ," 37,000 ",Bachelor's, D ,
1257,RED ROCK CONSULTING LLC, D ," 60,000 ",Master's, D ,
9516,CAPTOZYME LLC, D ," 30,000 ",Master's, D ,
7547,SMARTLING INC, D ," 48,000 ",Bachelor's, D ,
4214,FAMILIA DENTAL BC PLLC, D ," 143,000 ",Professional Degree, D ,
3601,POC TECH GROUP LLC, D ," 76,000 ",Master's, D ,
2924,MAERSK AGENCY USA INC, D ," 85,085 ",Master's, D ,
8959,CSC TKR LLC, D ," 65,000 ",Bachelor's, D ,
6262,PAYNE SMITH LLC, D ," 67,000 ",Master's, D ,
6187,IWORLD TRANSLATIONS 26 LLC, D ," 38,605 ",Master's, D ,
3668,AURORA PHARMACEUTICAL LLC, D ," 92,000 ",Master's, D ,
3046,NEWTOPIA ENTERPRISE INC DBA KO, D , 23 ,Master's, D ,
0502,INFINITE CONSULTING CORP, D ," 70,000 ",Bachelor's, D ,
6742,CYTONIX LLC, D ," 85,000 ",Master's, D ,
2575,NR & V DRUGS INC D/B/A WYANDOT, D ," 98,500 ",Professional Degree, D ,
9563,TRISTAR ART INC, D ," 40,747 ",Bachelor's, D ,
2607,LMCG INVESTMENTS LLC, D ," 115,000 ",Doctorate, D ,
8257,MOBILE HEARTBEAT LLC, D ," 80,000 ",Master's, D ,
8050,SECOND GENOME INC, D ," 78,000 ",Master's, D ,
7701,NEW FRONTIER CHODAE CHURCH, D ," 30,000 ",Master's, D ,
7332,SENSATO INVESTORS LLC, D ," 125,000 ",Master's, D ,
6123,SONANGOL MARINE SERVICES INC, D ," 105,600 ",No Diploma, D ,
2623,ECHEMPOWER INC, D ," 73,000 ",Master's, D ,
7182,ONY GLO INC, D ," 49,650 ",Bachelor's, D ,
4201,BIRTLEY INDUSTRIAL EQUIPMENT C, D ," 80,000 ",Master's, D ,
4094,EZ BOOK RECYCLE INC, D ," 72,000 ",Master's, D ,
0005,PDS AZ REGIONAL DENTAL SVCS LL, D ," 72,500 ",Professional Degree, D ,
4840,GJH INC, D ," 57,970 ",Bachelor's, D ,
0155,CHRISTIAN MEDIA CORPORATION, D ," 81,000 ",Master's, D ,
5646,EL DIA MEAT MARKET INC, D ," 31,304 ",Master's, D ,
2342,FASUR TECHNOLOGIES LLC, D ," 70,000 ",Bachelor's, D ,
1738,NEW YORK CREATIVE ARTS THERAPI, D ," 42,000 ",Master's, D ,
1550,OMNIHEALTH BIOSCIENCE CORPORAT, D ," 90,000 ",Master's, D ,
8167,REAL TIME POWER INC, D ," 86,400 ",Doctorate, D ,
7295,STUDIO KANJI ISHII INC, D ," 38,917 ",Bachelor's, D ,
4292,CENTRILLION TECHNOLOGIES INC, D ," 75,000 ",Doctorate, D ,
2645,CRITIGEN LLC, D ," 31,252 ",Bachelor's, D ,
9866,GREENFIELD INDUSTRIES INC, D ," 60,000 ",Master's, D ,
6749,ROSCOE PROPERTIES INC, D ," 70,000 ",Master's, D ,
1601,MILLENNIUM ADVISORS LLC, D ," 125,000 ",Master's, D ,
8809,VIRACOR IBT LABORATORIES INC, D ," 79,040 ",Bachelor's, D ,
7698,VARIDENT LLC, D ," 94,764 ",Bachelor's, D ,
8268,RELIANCE ELECTRONICS INC, D ," 68,869 ",Master's, D ,
7023,ART SY INC, D ," 125,000 ",Bachelor's, D ,
1038,AAE EXPRESS DOWNTOWN CORP, D ," 30,000 ",Master's, D ,
8976,NUTANIX INC, D ," 97,000 ",Master's, D ,
2806,LOTUS COMMUNITY CARE LLC /DBA, D ," 31,200 ",Master's, D ,
2480,GEN II FUND SERVICES LLC, D ," 52,000 ",Master's, D ,
9203,FRONTENDER CORPORATION, D ," 98,134 ",Master's, D ,
7397,FCA US LLC, D ," 70,435 ",Master's, D ,
6948,SUSTAINABLE MINDS LLC, D ," 42,765 ",Master's, D ,
4763,CONNECTICUT NEPHROLOGY ASSOC L, D ," 170,000 ",Professional Degree, D ,
7632,FRWD CO, D ," 100,000 ",Master's, D ,
4886,THE FRACTAL GROUP, D ," 57,100 ",Master's, D ,
2363,CHESTER MEDICAL GROUP LLC, D ," 174,990 ",Professional Degree, D ,
8226,AL TAYYAR ENERGY PRINCETON LLC, D ," 38,605 ",Master's, D ,
7551,LYNX TECHNOLOGY PARTNERS INC, D ," 110,000 ",Master's, D ,
5102,ACOMB OSTENDORF & ASSOCIATES L, D ," 57,470 ",Master's, D ,
0564,CEGMENT INC, D ," 180,000 ",Master's, D ,
9552,SHORE CAPITAL PARTNERS LLC, D ," 100,000 ",Master's, D ,
9123,RETINA VITREOUS CENTER PLLC, D ," 69,784 ",Master's, D ,
5319,BTG PACTUAL US CAPITAL LLC, D ," 153,000 ",Bachelor's, D ,
1827,MINDEN PHYSICIAN PRACTICE LLC, D ," 350,000 ",Professional Degree, D ,
1755,TNR STAFFING LLC DBA THERAPY, D ," 91,520 ",Master's, D ,
8690,AIMTRON CORP, D ," 70,000 ",Master's, D ,
4785,LEWIS PHARMACY OF PALM BEACH L, D ," 43,500 ",Bachelor's, D ,
5277,IKEDDI IMPORTS LLC, D ," 63,000 ",Master's, D ,
4342,AMERISINK INC, D ," 46,134 ",Bachelor's, D ,
6969,OHLIN & REED CONSULTING ENGINE, D ," 67,000 ",Doctorate, D ,
6577,T3 MICRO INC, D ," 65,000 ",Master's, D ,
9920,LAS VEGAS SANDS CORP, D ," 67,626 ",Master's, D ,
7090,SUNSHINE USA GROUP INC DBA SUN, D ," 29,120 ",Master's, D ,
6130,AIR LIQUIDE LARGE INDUSTRIES U, D ," 93,600 ",Master's, D ,
0085,AMPCUS INC, D ," 80,000 ",Master's, D ,
7247,QUALITY CONTROL LABORATORIES L, D ," 41,891 ",Bachelor's, D ,
5482,PHC-LAS CRUCES INC, D ," 365,000 ",Professional Degree, D ,
9646,INNER SPACE DESIGN INC DBA VIR, D ," 42,000 ",Master's, D ,
8558,WAYMAN PRO SVCS LLC DBA THE WA, D ," 34,000 ",Master's, D ,
9940,MSG DISTRIBUTIONS INC, D ," 60,000 ",Bachelor's, D ,
8953,GURIAN PLLC, D ," 60,000 ",Master's, D ,
7951,DTDC EXPRESS INC, D ," 51,500 ",Bachelor's, D ,
1302,WIRECO WORLDGROUP INC, D ," 105,575 ",Bachelor's, D ,
6437,BENAISSANCE LLC, D ," 115,000 ",Bachelor's, D ,
0914,TECHNODRIVE BUSINESS SOLUTIONS, D ," 74,734 ",Master's, D ,
6885,MIRKETA INC, D ," 55,000 ",Bachelor's, D ,
6698,NITTO AUTOMOTIVE INC, D ," 82,000 ",Master's, D ,
0411,FREEPORT LNG DEVELOPMENT LP, D ," 124,300 ",Bachelor's, D ,
2619,STAGECOACH PHILLIPS 66 INC, D ," 56,970 ",Bachelor's, D ,
9536,AFFIRMA CONSULTING LLC, D ," 107,000 ",Master's, D ,
7025,CONVERGENCE CONSULTING GROUP, D ," 100,000 ",Bachelor's, D ,
3672,SIGMA TECH INC, D ," 60,000 ",Master's, D ,
3235,PREFERRED COMPOUNDING CORP, D ," 107,567 ",Master's, D ,
8582,BCS INTL CORP DBA ROYAL FOODS, D ," 33,800 ",Bachelor's, D ,
4408,TECHIEINDEX INC, D ," 83,366 ",Master's, D ,
6268,DIAL A BUS, D ," 40,560 ",Master's, D ,
6233,HOSTING.COM INC, D ," 44,387 ",Bachelor's, D ,
5380,PERFORMANCE THERAPEUTICS MCALL, D ," 69,950 ",Bachelor's, D ,
4084,IZAN GROUP LLC DBA MONTESSORI, D ," 41,220 ",Bachelor's, D ,
6739,GENTLE DENTAL PC, D ," 121,930 ",Professional Degree, D ,
5674,567 GLOBAL CORP, D ," 32,997 ",Master's, D ,
4489,WQB ARCHITECTURE PLLC, D ," 42,822 ",Master's, D ,
4211,S K HEALTHCARE LLC D B A GWINN, D ," 131,400 ",Bachelor's, D ,
6687,TERANEX SYSTEMS INC, D ," 120,000 ",Doctorate, D ,
3051,METROWEST DENTAL CENTER INC, D ," 194,480 ",Professional Degree, D ,
1863,SAMBATEK INC, D ," 60,486 ",Master's, D ,
1443,TEXAS NICUSA LLC, D ," 90,013 ",Master's, D ,
0948,CLEARCHOICE ORTHODONTIC ASSO P, D ," 43,396 ",Bachelor's, D ,
9486,DATAINFOCOM USA INC DBA AYATA, D ," 93,500 ",Master's, D ,
7631,ALIVIA CAPITAL LLC DBA ALIVIA, D ," 85,000 ",Master's, D ,
6564,PROMENITE LLC, D ," 66,000 ",Master's, D ,
0721,13 RATTLES INC D/B/A R 13, D ," 55,973 ",Master's, D ,
0188,GLODON USA SOFTWARE TECHNOLOGY, D ," 54,600 ",Master's, D ,
9097,BIOWISH TECHNOLOGIES INC, D ," 102,000 ",Bachelor's, D ,
7307,WAVE SOLUTIONS INC, D ," 42,089 ",Master's, D ,
4002,SEI ELECTRIC LLC, D ," 185,400 ",Bachelor's, D ,
3361,WAKE SPINE PAIN SPECIALISTS PC, D ," 130,000 ",Master's, D ,
0837,COSMETIC ESSENCE LLC, D ," 122,500 ",Master's, D ,
5786,SAVANA INC, D ," 78,500 ",Master's, D ,
4738,SWINGTECH CONSULTING INC, D ," 60,750 ",Master's, D ,
4051,WEI FASHION DESIGN AND TRADING, D ," 23,920 ",Master's, D ,
0525,ABON PHARMACEUTICALS LLC, D ," 65,000 ",Master's, D ,
9417,MAHALAXMI MARKETING 2 INC, D ," 47,445 ",Bachelor's, D ,
8793,ORANGE CIRCLE STUDIO CORPORATI, D ," 36,000 ",Master's, D ,
8786,CEWA TECHNOLOGIES INC, D ," 96,000 ",Master's, D ,
2151,TOSOLINI & LAMURA LLP, D ," 42,900 ",Master's, D ,
1027,LONZA HOUSTON INC, D ," 65,000 ",Master's, D ,
0906,DM CONNECT LLC DBA DUMONT PROJ, D ," 157,000 ",Master's, D ,
0078,WINTEST INC, D ," 46,000 ",Master's, D ,
3954,DOCASAP INC, D ," 100,000 ",Bachelor's, D ,
3654,DOCASAP INC, D ," 85,000 ",Master's, D ,
3045,TRUMPET BEHAVIORAL HEALTH, D ," 110,000 ",Doctorate, D ,
2190,IFN COM INC DBA TOLLFREEFORWAR, D ," 185,000 ",Master's, D ,
9110,OTHERLAB INC, D ," 150,000 ",Doctorate, D ,
7460,KINEO GROUP INC, D ," 83,500 ",Master's, D ,
7269,NORTH POINT GEOGRAPHIC SOLUTIO, D ," 50,190 ",Master's, D ,
1839,STEEL HOUSE INC, D ," 160,000 ",Bachelor's, D ,
8374,TRIDIAGONAL SOLUTIONS INCORPOR, D ," 82,000 ",Master's, D ,
8193,FOCUSKPI INC, D ," 157,500 ",Bachelor's, D ,
7100,LUCID SOFTWARE INC, D ," 67,500 ",Bachelor's, D ,
0866,FLOW TRADERS US LLC, D ," 84,000 ",Bachelor's, D ,
9785,RAAG LLC DBA RAQUEL ALLEGRA, D ," 100,000 ",Bachelor's, D ,
7915,SUPREME LEATHER LLC, D ," 66,000 ",Bachelor's, D ,
7861,EQUINOX IT SOLUTIONS LLC, D ," 50,000 ",Master's, D ,
3325,GRAPHENE LABORATORIES INC, D ," 63,502 ",Master's, D ,
0345,REVE CONSULTING LLC, D ," 62,345 ",Bachelor's, D ,
8834,GLACIER GLOBAL PARTNERS LLC, D ," 210,413 ",Master's, D ,
8833,TPR ENTERPRISES LLC DBA, D ," 92,500 ",Doctorate, D ,
9088,LAKELANDS NEPHOLOGY PA, D ," 190,000 ",Professional Degree, D ,
0241,FARRAGUT SYSTEMS INC, D ," 90,000 ",Master's, D ,
4278,GOLDIN GROUP LLC, D ," 75,000 ",Master's, D ,
4196,RECURRENT ENERGY DVLP HOLDINGS, D ," 82,000 ",Master's, D ,
4003,AUDEAMUS DBA SEBASTIAN, D ," 75,000 ",Bachelor's, D ,
2552,LAW OFFICE OF W OHYAN PLLC, D ," 44,785 ",Master's, D ,
0310,ASPEN DENTAL OF OR PC, D ," 156,000 ",Professional Degree, D ,
6904,PARAB CONSULTING GROUP INC, D ," 90,000 ",Bachelor's, D ,
4904,PARAB CONSULTING GROUP INC, D ," 110,000 ",Master's, D ,
8749,FLEX RENTAL SOLUTIONS LLC, D ," 85,000 ",Master's, D ,
8721,SK BETA LLC DBA MICROEON, D ," 65,000 ",Bachelor's, D ,
7782,NAZMA LLC DBA POCO LOCO, D ," 54,000 ",Bachelor's, D ,
1376,MEDPRO HLTH PROVIDERS LLC DBA, D ," 55,515 ",Bachelor's, D ,
1285,COLLATERAL ANALYTICS LLC, D ," 67,000 ",Master's, D ,
8866,HUASCA INC DBA M4 DIGITAL MEDI, D ," 60,778 ",Bachelor's, D ,
7697,NOVOGY INC, D ," 70,720 ",Master's, D ,
7353,CHICAGOLAND FOREIGN INVESTMENT, D ," 35,000 ",Associate Degree, D ,
0923,UNITED STONES INTL IN DBA UNIT, D ," 78,000 ",Master's, D ,
2377,OBXTEK INC, D ," 106,709 ",Bachelor's, D ,
7322,ISBX, D ," 75,941 ",Bachelor's, D ,
5130,PLANCK HOLDINGS LLC, D ," 128,800 ",Bachelor's, D ,
2657,BEIJING TONG REN TANG MING QI, D ," 62,400 ",Master's, D ,
2980,FRANK J QUATELA ARCHITECT PC, D ," 48,000 ",Bachelor's, D ,
9294,SUN VALLEY BEHAVIORAL MED CTR, D ," 312,000 ",Professional Degree, D ,
8588,CLEVELAND INTERNATIONAL FUND, D ," 43,000 ",Master's, D ,
7854,MOBILEWARE INC, D ," 80,000 ",Master's, D ,
5167,NIPPON UNLIMITED LLC DBA EBISU, D ," 56,200 ",Master's, D ,
2347,ISG SERVICES LLC, D ," 85,000 ",Bachelor's, D ,
2153,PROSOURCE SOLUTIONS LLC, D ," 84,456 ",Master's, D ,
0131,DUBIN SINGER PC, D ," 64,000 ",Professional Degree, D ,
5251,AUTO INVESTMENT ENTERPRISE COR, D ," 47,382 ",Master's, D ,
1837,CLARKSVILLE DENTAL SPA PLLC, D ," 120,000 ",Professional Degree, D ,
0829,TRILANTIC CAPITAL MANAGEMENT L, D ," 100,000 ",Bachelor's, D ,
9996,KEY LIME INTERACTIVE LLC, D ," 50,000 ",Master's, D ,
4298,AZITRA OF RICHMOND INC, D ," 45,885 ",Bachelor's, D ,
1975,MALOM CONSULTING CORP, D ," 47,445 ",Master's, D ,
8795,AQWEST INC, D ," 92,700 ",Doctorate, D ,
5127,ESALON COM LLC, D ," 190,000 ",Master's, D ,
6451,MDM GLOBAL CORP, D ," 60,000 ",Master's, D ,
4224,HORIZON SCIENCE ACAD DAYTON HI, D ," 45,970 ",Bachelor's, D ,
4125,PRIMORIS SYSTEMS LLC, D ," 96,000 ",Master's, D ,
6802,PINNAKLE TECHNOLOGIES INC, D ," 110,000 ",Master's, D ,
0379,7SUMMITS LLC, D ," 135,000 ",Master's, D ,
8854,LAB CASEWORKS INC DBA WESINCO, D ," 100,000 ",Master's, D ,
8159,SAN LUIS OBISPO SEEDS INC D/B/, D ," 68,000 ",Doctorate, D ,
5052,LICENSING BRANDS INC, D ," 36,780 ",Master's, D ,
3289,RED NOVA LABS INC DBA STOREDGE, D ," 120,000 ",Bachelor's, D ,
0759,INFOLAB SOLUTIONS INC, D ," 58,000 ",Master's, D ,
8561,AMERICAN FLIGHT TRAINING LLC, D ," 65,000 ",Master's, D ,
6906,PINE BROOK PHARMACY LLC DBA PI, D ," 13,650 ",Bachelor's, D ,
2237,GEMS AMERICAS INC, D ," 65,000 ",Master's, D ,
1735,SOCCER AT ITS BEST, D ," 28,080 ",Bachelor's, D ,
0033,ENGAGED NATION HOLDINGS LLC, D ," 90,000 ",Bachelor's, D ,
6778,APEX CLEAN ENERGY INC, D ," 88,192 ",Master's, D ,
9765,LEOPONA INC DBA AUDIOSOCKET IN, D ," 87,516 ",Doctorate, D ,
5702,RUGGIERO PLANTE LAND DESIGN LL, D ," 62,400 ",Master's, D ,
5032,AMA ENGINEERS LLC, D ," 60,029 ",Bachelor's, D ,
9374,LINPHOS CHEMICAL INC, D ," 61,000 ",Doctorate, D ,
7141,WONDFO USA CO LTD, D ," 77,000 ",Doctorate, D ,
3577,UNLIMITED PCS GEORGIA LLC, D ," 30,000 ",Master's, D ,
3437,NULOOM INC, D ," 99,000 ",Master's, D ,
3195,ACE INDUSTRIAL GROUP INC, D ," 36,000 ",Master's, D ,
2738,CLOUD9 FABRICS INC, D ," 43,000 ",Bachelor's, D ,
8847,DHANAVANTRI INC DBA LEXCARE PH, D ," 100,519 ",Bachelor's, D ,
4643,NOVODIAX INC, D ," 68,250 ",Doctorate, D ,
2939,HINGE DIGITAL LLC, D ," 41,475 ",Bachelor's, D ,
6739,H & N PHARMACY INC, D ," 114,400 ",Professional Degree, D ,
6118,L L FUNDS LLC, D ," 200,000 ",Doctorate, D ,
3092,INTELEX SYSTEMS INC, D ," 63,000 ",Bachelor's, D ,
1863,ARIANNA CAPITAL MANAGEMENT LLC, D ," 44,990 ",Bachelor's, D ,
9946,SAGE BIONETWORKS, D ," 91,680 ",Doctorate, D ,
9727,ADM CPA PC, D ," 62,400 ",Bachelor's, D ,
8869,CALIFORNIA SHORT SALE SOLUTION, D ," 24,825 ",Bachelor's, D ,
6426,PRIMARY INSIGHT LLC, D ," 72,000 ",Master's, D ,
9503,MAINFRAME WHITETAILS LLC, D ," 87,500 ",Bachelor's, D ,
6193,STEM INC, D ," 165,000 ",Master's, D ,
1940,DORSAL CAPITAL MGMT LLC, D ," 200,000 ",Bachelor's, D ,
1759,COPPERCONE INC, D ," 102,149 ",Master's, D ,
8134,ESSENTIAL ENDODONTICS PA, D ," 184,000 ",Doctorate, D ,
4660,RANK MOBILE DBA MOBILEMOXIE, D , 35 ,Master's, D ,
9142,GOLDEN GATE UROLOGY INC, D ," 62,400 ",Master's, D ,
8603,NEXUS BUILDING DEVELOPMENT GR, D ," 150,000 ",Professional Degree, D ,
8424,LAW OFFICE OF YONG IL JEONG P, D ," 21,892 ",Professional Degree, D ,
7715,TUNE INC, D ," 55,000 ",Master's, D ,
5923,DW PARTNERS LP, D ," 175,000 ",Master's, D ,
8837,HING CHENG P C, D ," 37,960 ",Master's, D ,
8582,LAW OFFICES OF LI ASSOCIATES P, D ," 83,200 ",Professional Degree, D ,
2357,TRI-STAR RETAILS INC, D ," 29,796 ",Master's, D ,
2146,SPECTRAL MD INC, D ," 94,000 ",Doctorate, D ,
7860,SITE DESIGN GROUP LTD, D ," 43,430 ",Master's, D ,
5742,CERMAX CORP, D ," 60,000 ",Bachelor's, D ,
4862,AMERISOURCEBERGEN SPECIALTY GR, D ," 91,494 ",Bachelor's, D ,
3507,TECHSOPHY INC, D ," 76,500 ",Bachelor's, D ,
2287,DIMITRIOS MANTZOROS LLC, D ," 90,500 ",Master's, D ,
1154,LOGISTECH INC, D ," 78,562 ",Master's, D ,
9942,DOCTORS MAKING HOUSECALLS GERI, D ," 208,134 ",Professional Degree, D ,
8756,IRVINE LENDING INC, D ," 30,160 ",Bachelor's, D ,
8413,BAILEY FARMS INTERNATIONAL LLC, D ," 104,000 ",Master's, D ,
6746,C & L GLOBAL INC, D ," 50,000 ",Bachelor's, D ,
5691,NOVUS IT LLC, D ," 62,000 ",Master's, D ,
5322,ANTIGEN TARGETING & CONSULTING, D ," 17,035 ",Bachelor's, D ,
2286,COSMOPOLITAN FOOD GROUP INC, D ," 93,496 ",Bachelor's, D ,
9896,SOLSTICE SYSTEMS & TECH LLC, D ," 103,709 ",Master's, D ,
9314,INNOVATED TECHNOLOGIES LLC, D ," 75,000 ",Master's, D ,
1114,BRUNDIDGE & STANGER PC, D ," 98,176 ",Professional Degree, D ,
0744,HEALTHSCAPE ADVISORS LLC, D ," 87,000 ",Master's, D ,
5892,SAM ANALYTIC SOLUTIONS LLC DBA, D ," 72,000 ",Bachelor's, D ,
1503,VERSIONONE INC, D ," 177,500 ",Some College Credits, D ,
1180,ATEC TRAINING & CERTIFICATION, D ," 135,000 ",Bachelor's, D ,
8301,CAPSPIRE INC, D ," 130,000 ",Bachelor's, D ,
9331,RAJA S MEHDI MD PLLC DBA HOPE, D ," 300,000 ",Professional Degree, D ,
7620,YESOL COPORATION, D ," 60,050 ",Bachelor's, D ,
7262,GREENERU INC, D ," 60,000 ",Master's, D ,
3002,5BARZ INTERNATIONAL INC, D ," 75,546 ",Master's, D ,
9353,SAFETY HVAC INC, D ," 62,026 ",Master's, D ,
7180,MCM CAPITAL PARTNERS LLLP, D ," 66,000 ",Bachelor's, D ,
7093,GIROPTIC INC, D ," 90,000 ",Master's, D ,
0878,I SMILE DENTAL ARTS PLLC, D ," 132,605 ",Professional Degree, D ,
7252,MARTINREA JONESVILLE LLC, D ," 71,400 ",Master's, D ,
5142,US SUNERGY CORP, D ," 57,290 ",Master's, D ,
7546,JERSEY FARM PRODUCE INC, D ," 41,600 ",Bachelor's, D ,
5172,RED SPARK LP FKA RED ONLINE MA, D ," 120,000 ",Master's, D ,
3357,CONTEMPORARY ALTERNATIVE MEDIC, D ," 44,762 ",Master's, D ,
6109,EDWARD J SHANAHAN LLC, D ," 53,702 ",Bachelor's, D ,
3654,GRAYBOX LLC, D ," 76,960 ",Bachelor's, D ,
0997,MARIN CLEAN ENERGY, D ," 70,013 ",Master's, D ,
6224,CONGRESS WEALTH MANAGEMENT LLC, D ," 60,000 ",Master's, D ,
6639,RAY LAW INTERNATIONAL, D ," 65,000 ",Professional Degree, D ,
2311,AMERICAN LEAKLESS COMPANY LLC, D ," 59,000 ",Doctorate, D ,
1973,SANCUS CAPITAL MANAGEMENT LP, D ," 100,000 ",Master's, D ,
6566,UNITED TECHNOLOGIES RESEARCH C, D ," 115,000 ",Doctorate, D ,
5407,WOLFRAM ALPHA LLC, D ," 80,000 ",Doctorate, D ,
1367,SUNCLAIR SOLUTIONS, D , 0 ,Doctorate, D ,
9047,AMBER KINETICS INC, D ," 120,000 ",Master's, D ,
6217,AUTOBIDMASTER LLC, D ," 138,000 ",Bachelor's, D ,
1820,MEDIXSOFT INC, D ," 68,827 ",Bachelor's, D ,
1013,IFC ASSET MANAGEMENT COMPANY L, D ," 230,156 ",Bachelor's, D ,
6453,PATAGONIA HEALTH INC, D ," 77,500 ",Master's, D ,
6142,CENPOS INC, D ," 79,000 ",Bachelor's, D ,
4829,SENIOR REHAB SOLUTIONS LLC, D , 41 ,Master's, D ,
4463,REGATTA SOLUTIONS INC, D ," 100,000 ",Bachelor's, D ,
1845,AMERRA CAPITAL MANAGEMENT LLC, D ," 110,000 ",Master's, D ,
0249,NORTH SAGINAW PHARMACY LLC, D ," 64,854 ",Master's, D ,
9379,REICH FURS LLC, D ," 45,760 ",Bachelor's, D ,
8180,ALPHA TECHNICAL SERVICES INC, D ," 85,000 ",Master's, D ,
3789,WILSON PERUMAL & COMPANY INC, D ," 100,000 ",Master's, D ,
9053,ADVALENT CORPORATION, D ," 63,000 ",Bachelor's, D ,
8653,HEARTHSIDE FOOD SOLUTIONS LLC, D ," 91,296 ",Master's, D ,
8149,ESSEX MANAGEMENT LLC, D ," 103,500 ",Master's, D ,
7573,VALLEY VIEW PHYSICIAN PRACTICE, D ," 200,000 ",Professional Degree, D ,
2773,APPERIAN INC, D ," 70,000 ",Master's, D ,
6772,UNISTAR CHEMICAL INC, D ," 124,800 ",Master's, D ,
3665,WOODMINSTER VETERINARY HOSP CO, D , 65 ,Professional Degree, D ,
1573,PRESDO INC, D ," 107,000 ",Master's, D ,
8330,INTEGRAL CONTRACTING INC, D ," 110,000 ",Master's, D ,
7886,CLEAN FOCUS CORPORATION, D ," 102,000 ",Master's, D ,
6516,HENDERSON COLLEGIATE INC, D ," 46,369 ",Master's, D ,
5974,L NUTRA INC, D ," 375,000 ",Professional Degree, D ,
